200
67	73	0
69	48	7057
33	96	2582
35	24	4560
29	77	1542
45	62	2377
35	9	1294
62	88	3457
90	79	7182
63	3	363
25	28	1791
69	72	8560
18	55	7858
37	100	6935
78	23	3480
70	71	2433
31	56	7275
21	86	8149
28	95	4379
49	74	646
23	7	6202
1	98	660
60	4	9654
70	49	488
14	73	2032
16	41	6221
13	68	4516
92	92	6048
7	81	5630
71	21	1736
91	16	6484
99	34	1848
59	10	321
82	32	3641
92	9	1542
42	15	7836
62	43	7384
21	12	1658
47	22	6784
96	18	132
42	76	8080
76	57	8064
72	84	1345
28	66	624
67	95	3898
28	3	7125
33	92	8134
73	84	4456
64	15	9942
37	62	797
23	75	3087
31	20	2968
55	81	5850
37	29	4313
49	25	9798
70	25	1246
4	26	4668
52	48	6343
37	93	7939
44	11	9975
72	3	7390
18	39	9805
46	49	1828
23	49	1426
90	68	292
19	91	8078
94	93	7104
36	50	1784
41	33	5612
36	12	255
97	44	525
25	95	2150
56	78	3746
8	50	9825
22	81	2212
14	34	1597
23	25	2575
6	65	9585
51	49	1707
87	46	8891
7	80	108
20	78	2812
59	30	512
83	59	9595
84	29	6916
59	68	1714
2	75	1118
0	40	6067
83	1	8425
58	41	8063
19	95	4353
13	34	5778
50	99	4800
6	56	504
47	21	1568
2	83	4042
16	80	4936
81	22	488
49	20	7171
98	92	8637
78	11	7995
98	42	6086
51	80	4638
35	64	4536
98	81	999
72	39	537
97	53	2492
20	1	9861
11	74	9205
90	28	6512
10	59	6788
11	61	3178
43	9	3755
97	59	9415
72	60	3926
11	81	5557
45	40	1287
0	20	9115
11	86	641
72	62	2934
44	19	2852
72	4	1155
5	35	1125
16	13	3427
91	19	7494
79	38	1539
96	24	1039
58	69	6867
43	28	7884
18	70	8781
15	14	7515
55	53	5097
36	91	9661
64	29	9109
24	86	5763
60	18	3181
88	31	1936
32	36	6056
68	88	1729
86	42	4045
5	17	3346
50	82	7471
37	42	1919
91	87	2564
100	10	9894
44	75	2733
43	12	9084
67	23	2350
27	55	7338
43	37	6443
15	37	8506
47	10	1543
30	49	165
82	73	8584
92	24	3690
19	48	315
94	67	1094
31	100	2665
45	2	7574
63	87	9640
26	45	7207
31	35	4575
1	49	124
87	97	5349
26	37	2342
42	52	4562
81	65	331
86	2	696
93	22	103
2	98	7128
57	21	1610
5	83	3578
30	82	4170
5	68	3345
9	63	9965
27	30	6787
60	40	5460
87	49	9502
8	86	9191
57	71	6418
66	61	3845
19	23	2896
4	59	2385
33	53	5811
34	13	798
27	32	3365
25	23	2955
39	89	4371
9	93	9218
8	7	404
97	47	1112
41	69	5805
70	16	7752
72	61	1391
65	49	6954
23	35	1089
10	64	7823
87	39	1925
38	73	1010
48	9	5899
32	1	4312
