50	50
34.4	42
44.4	53.8
37	53.4
40.2	57.7
43.5	56.3
34.5	54.7
37.6	52.7
36.6	52
35.7	51.7
47.2	42
44.1	56.7
45.9	52.2
31.8	57.8
32.3	55.4
42.5	42.4
34.7	51.3
34.2	50.1
42.4	48.6
35.8	42.5
37.6	48.5
36	42
33.5	48.3
32.1	48.1
45.6	48.5
45	44.4
35.2	53.8
44.1	55.2
43.5	44.7
43.1	50.3
32.8	51.7
38	47.7
42.4	54.2
44.5	55.4
32.9	47.5
41.6	75.6
48.2	68.9
35.9	81.3
38	71.8
45	71.5
42.6	68.8
36.9	83.6
46.4	70.9
43.7	73
38.2	67.9
43.5	78.1
35.9	77.8
40.6	78.5
42.2	74.5
34.2	80.8
37.1	73.5
47.4	73.5
43.5	67.8
33.7	72.4
34.7	73
39.7	82
38.3	79.7
38	73.1
46.4	79.2
37.3	79.9
39.9	68
39.8	72
46.9	78.2
40.6	74.5
41.1	77.6
49.1	73.6
45.4	74.5
49.1	78.1
39	67
42.4	67.4
40	81.1
99.5	89.5
99.9	90.9
97	92
99.9	99.9
94.9	99.9
99.9	91.9
90.7	96.2
92.4	90.7
99.9	88.9
99.9	97.1
90.1	98.4
96.5	95.8
91.3	97
99.9	99.9
94.6	99.9
99.9	97.2
90.8	95.6
99.9	99.9
91.2	94.8
99.9	90.1
92.1	96.7
93.3	98.7
91	99.9
94.4	98.8
99.4	89
92	91.9
93	93.7
99.3	93.1
92.6	99.9
95.3	97.1
50	50
