50	50
66.7	52.3
69.2	59.8
73.2	59.1
63.8	55.7
66.8	50.7
73.1	57.4
75.6	53.8
70.3	54.5
70.4	52.3
67.8	57.1
67.5	59.1
74.3	58.8
62.4	52.1
68.7	58.5
70.8	58.2
70.3	51.3
68.4	51.6
70.4	51.4
68	54.2
67.2	50.6
64.5	63
6.8	96.3
1.1	97.9
5.7	99.8
0	99.9
0	90.6
3.2	90.8
7.3	98.2
0	94.8
2.2	99.9
6.8	91.4
2.2	95
2	91.6
0	95
0	99.9
8.4	94.2
2.9	90.5
8.4	96.1
3.7	99.4
29.1	99.9
33	94.3
24.5	93
31	93.4
33.8	90.6
34	99.6
30.1	99
24.9	89.6
31	94.7
29	93.1
36.2	94.3
26.3	98.7
26.1	93.1
31.3	99.9
33.6	97.1
36.4	99.9
32.4	91.8
30.9	90.3
28.3	93.3
28.6	99.9
24.6	97.3
36.9	90.1
83.1	22.7
71.9	20.5
76.5	20.9
77.4	24.8
71.9	22
72.5	23.3
74.9	30.1
78.8	23.2
82.3	21.8
80.2	30.4
73.5	17.9
78.4	17.4
74.8	30.6
72.6	29.9
75.1	18.3
78.8	24.7
80	30.5
73.4	25.4
81.6	28.7
99.9	6.2
99.2	9.1
99.9	7.9
99.2	0
99.9	0
95.6	8.5
95	4.5
99.9	6.1
93.9	0
97.9	0
97.6	0
99.9	9.4
99.9	2
99.9	0
96.2	0.9
97.4	4.6
99.8	0.7
95.3	2
98.8	3.5
95	3.6
50	50
