55	48
9	18
29	96
95	51
9	58
84	21
5	1
29	50
55	26
36	49
4	44
96	29
5	76
37	64
2	31
72	63
89	29
73	52
6	34
50	56
72	68
59	78
2	60
29	46
28	12
14	50
57	31
78	24
79	3
7	97
88	74
59	73
93	1
55	58
99	31
7	6
47	99
94	83
69	72
83	32
57	46
6	47
13	25
81	21
60	82
7	81
97	25
99	89
67	89
6	5
25	60
76	95
77	51
15	87
77	46
89	48
50	27
33	100
22	2
11	27
47	39
83	6
83	45
35	15
28	71
18	41
67	97
59	46
19	77
85	18
64	96
31	61
31	11
57	44
3	36
63	79
55	55
19	40
65	99
97	82
7	77
25	90
74	17
46	10
44	85
12	86
33	39
87	66
38	4
83	93
35	7
24	42
14	63
42	30
31	53
7	50
50	91
100	57
61	3
19	65
43	33
55	48
